path,artist,style,genre,style_id,genre_id
44386.jpg,Childe Hassam,Impressionism,cityscape,41,10
59365.jpg,Henri de Toulouse-Lautrec,Impressionism,animal painting,41,3
86305.jpg,Bartolome Esteban Murillo,Baroque,religious painting,12,30
72059.jpg,Pierre-Auguste Renoir,Impressionism,landscape,41,19
103112.jpg,Titian,Mannerism (Late Renaissance),mythological painting,54,23
71609.jpg,Kay Sage,Surrealism,landscape,109,19
80135.jpg,Jeremy Moon,Post-Painterly Abstraction,abstract,91,0
42912.jpg,Albrecht Durer,Northern Renaissance,religious painting,79,30
21528.jpg,Egon Schiele,Expressionism,nude painting (nu),30,24
88243.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait,121,27
22881.jpg,Hieronymus Bosch,Northern Renaissance,religious painting,79,30
52741.jpg,Romul Nutiu,Tachisme,abstract,115,0
87284.jpg,Ottone Rosai,Expressionism,still life,30,34
65842.jpg,Armand Guillaumin,Impressionism,landscape,41,19
59598.jpg,Joachim Patinir,Northern Renaissance,religious painting,79,30
16141.jpg,Lawren Harris,Art Deco,landscape,8,19
43448.jpg,Edgar Degas,Impressionism,genre painting,41,15
24937.jpg,John Singer Sargent,Impressionism,cityscape,41,10
33665.jpg,David Cox,Romanticism,landscape,101,19
76351.jpg,Kuzma Petrov-Vodkin,Symbolism,portrait,110,27
8050.jpg,Gerrit Dou,Baroque,genre painting,12,15
4741.jpg,Amedeo Modigliani,Expressionism,portrait,30,27
90317.jpg,Albrecht Durer,Northern Renaissance,religious painting,79,30
102337.jpg,Vasile Kazar,Expressionism,figurative,30,13
79174.jpg,Jeremy Moon,Post-Painterly Abstraction,abstract,91,0
55155.jpg,Felicien Rops,Symbolism,nude painting (nu),110,24
65552.jpg,Marsden Hartley,Expressionism,landscape,30,19
3060.jpg,Constantin Stahi,Realism,still life,97,34
54786.jpg,Chaim Soutine,Expressionism,still life,30,34
18003.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait,121,27
27328.jpg,William Merritt Chase,Realism,still life,97,34
61431.jpg,Peter Paul Rubens,Baroque,religious painting,12,30
86493.jpg,Charles M. Russell,Romanticism,genre painting,101,15
687.jpg,Zdislav Beksinski,Surrealism,symbolic painting,109,35
21419.jpg,Pierre Bonnard,Post-Impressionism,self-portrait,89,31
80637.jpg,Sam Francis,Abstract Expressionism,abstract,1,0
85912.jpg,Mary Cassatt,Impressionism,portrait,41,27
57841.jpg,Theophile Steinlen,Realism,sketch and study,97,33
12546.jpg,Erte,Art Deco,design,8,12
39451.jpg,Gustave Loiseau,Post-Impressionism,landscape,89,19
73923.jpg,Koloman Moser,Art Nouveau (Modern),design,10,12
77772.jpg,Yves Gaucher,Minimalism,abstract,57,0
90418.jpg,Mark Tobey,Expressionism,self-portrait,30,31
100160.jpg,Ernst Ludwig Kirchner,Expressionism,nude painting (nu),30,24
21039.jpg,Giovanni Boldini,Realism,animal painting,97,3
34216.jpg,Gustave Dore,Romanticism,religious painting,101,30
57228.jpg,Lucas Cranach the Elder,Northern Renaissance,portrait,79,27
82810.jpg,Charles Rennie Mackintosh,Art Nouveau (Modern),flower painting,10,14
15620.jpg,John Ruskin,Romanticism,sketch and study,101,33
74643.jpg,Georgia O'Keeffe,Precisionism,abstract,93,0
46280.jpg,Paul Serusier,Synthetism,landscape,113,19
87916.jpg,Gwen John,Post-Impressionism,portrait,89,27
17502.jpg,Nicolae Darascu,Impressionism,flower painting,41,14
36615.jpg,John Everett Millais,Romanticism,genre painting,101,15
88549.jpg,Raphael Kirchner,Art Nouveau (Modern),genre painting,10,15
83459.jpg,Eugene Boudin,Impressionism,landscape,41,19
60995.jpg,Leonardo da Vinci,High Renaissance,mythological painting,39,23
60415.jpg,Fede Galizia,Mannerism (Late Renaissance),portrait,54,27
19223.jpg,Ivan Aivazovsky,Romanticism,marina,101,21
89294.jpg,Raphael Kirchner,Art Nouveau (Modern),illustration,10,17
52288.jpg,Felice Casorati,Expressionism,nude painting (nu),30,24
94992.jpg,Giovanni Boldini,Realism,sketch and study,97,33
99241.jpg,Carl Spitzweg,Biedermeier,genre painting,13,15
45185.jpg,John Steuart Curry,Regionalism,animal painting,98,3
79116.jpg,Bartolome Esteban Murillo,Baroque,religious painting,12,30
59992.jpg,Karl Bryullov,Romanticism,portrait,101,27
5975.jpg,Verena Loewensberg,Concretism,abstract,19,0
12722.jpg,Toyohara Chikanobu,Ukiyo-e,bijinga,121,5
21608.jpg,Rembrandt,Baroque,portrait,12,27
89212.jpg,Adriaen van Ostade,Baroque,genre painting,12,15
53648.jpg,Gustave Moreau,Symbolism,religious painting,110,30
41061.jpg,Lilla Cabot Perry,Impressionism,genre painting,41,15
74514.jpg,James Tissot,Realism,portrait,97,27
35838.jpg,Florine Stettheimer,Naïve Art (Primitivism),portrait,64,27
60570.jpg,Thomas Cole,Romanticism,landscape,101,19
11553.jpg,Max Gubler,Expressionism,landscape,30,19
93673.jpg,Benozzo Gozzoli,Early Renaissance,religious painting,28,30
50321.jpg,Barnett Newman,Color Field Painting,abstract,17,0
54321.jpg,Zdislav Beksinski,Surrealism,genre painting,109,15
53473.jpg,Zinaida Serebriakova,Expressionism,portrait,30,27
85499.jpg,Zdislav Beksinski,Surrealism,symbolic painting,109,35
52232.jpg,Martiros Saryan,Expressionism,sketch and study,30,33
29121.jpg,Jacek Malczewski,Art Nouveau (Modern),genre painting,10,15
84722.jpg,Raphael Kirchner,Art Nouveau (Modern),nude painting (nu),10,24
41805.jpg,Octav Bancila,Realism,flower painting,97,14
13619.jpg,Utagawa Kunisada,Ukiyo-e,mythological painting,121,23
48736.jpg,Joshua Reynolds,Rococo,mythological painting,99,23
19206.jpg,Jean Paul Lemieux,Regionalism,landscape,98,19
70216.jpg,Roger de La Fresnaye,Cubism,genre painting,23,15
10643.jpg,Alfred Wallis,Naïve Art (Primitivism),marina,64,21
2638.jpg,Agnes Martin,Minimalism,abstract,57,0
82845.jpg,Raphael,High Renaissance,sketch and study,39,33
5981.jpg,Otto Dix,Verism,portrait,122,27
23056.jpg,Juan Gris,Synthetic Cubism,still life,112,34
10498.jpg,Wilhelm Kotarbinski,Art Nouveau (Modern),genre painting,10,15
12411.jpg,Georges Braque,Expressionism,still life,30,34
59318.jpg,Charles M. Russell,Romanticism,battle painting,101,4
49934.jpg,Maki Haku,Sōsaku hanga,abstract,114,0
68934.jpg,Jean-Baptiste-Simeon Chardin,Rococo,still life,99,34
92428.jpg,David Bates,Realism,landscape,97,19
37174.jpg,Jusepe de Ribera,Tenebrism,religious painting,116,30
5051.jpg,Ding Yanyong,Ink and wash painting,genre painting,43,15
60905.jpg,Christo Coetzee,Magic Realism,portrait,53,27
75471.jpg,Mstislav Dobuzhinsky,Art Nouveau (Modern),cityscape,10,10
7645.jpg,Carl Larsson,Art Nouveau (Modern),portrait,10,27
2616.jpg,Marcelle Cahn,Abstract Art,abstract,0,0
89643.jpg,Camille Pissarro,Impressionism,landscape,41,19
31775.jpg,Theophile Steinlen,Realism,sketch and study,97,33
35167.jpg,Georges Seurat,Post-Impressionism,landscape,89,19
87602.jpg,Charles M. Russell,Romanticism,genre painting,101,15
101434.jpg,Rene Magritte,Surrealism,genre painting,109,15
94000.jpg,Mary Cassatt,Impressionism,genre painting,41,15
21379.jpg,Cornelis Springer,Romanticism,cityscape,101,10
81518.jpg,Henryk Stazewski,Concretism,abstract,19,0
79485.jpg,Ivan Aivazovsky,Romanticism,marina,101,21
13716.jpg,Vasily Tropinin,Realism,portrait,97,27
101775.jpg,Abidin Dino,Abstract Expressionism,abstract,1,0
64570.jpg,Sophie Taeuber-Arp,Abstract Art,abstract,0,0
12789.jpg,Maurice Prendergast,Post-Impressionism,genre painting,89,15
6467.jpg,Mikhail Nesterov,Post-Impressionism,genre painting,89,15
30407.jpg,John Henry Twachtman,Impressionism,landscape,41,19
11558.jpg,George Romney,Rococo,portrait,99,27
22850.jpg,Paul Gauguin,Impressionism,still life,41,34
8331.jpg,Leon Bakst,Art Nouveau (Modern),design,10,12
83376.jpg,Konstantin Vasilyev,Contemporary Realism,portrait,21,27
74289.jpg,Gustave Loiseau,Post-Impressionism,landscape,89,19
101513.jpg,Jacob Lawrence,Social Realism,genre painting,104,15
8279.jpg,John James Audubon,Naturalism,illustration,63,17
36531.jpg,Diego Velazquez,Baroque,portrait,12,27
26086.jpg,Claude Monet,Impressionism,flower painting,41,14
53089.jpg,Anton Melbye,Romanticism,marina,101,21
27949.jpg,Hoca Ali Riza,Impressionism,cityscape,41,10
48947.jpg,Georgia O'Keeffe,Precisionism,flower painting,93,14
38501.jpg,Raphael Kirchner,Art Nouveau (Modern),design,10,12
90010.jpg,Theodor Severin Kittelsen,Art Nouveau (Modern),illustration,10,17
8139.jpg,Jeremy Moon,Post-Painterly Abstraction,abstract,91,0
58290.jpg,Pavel Filonov,Analytical Realism,allegorical painting,6,2
72958.jpg,Eugene Boudin,Impressionism,landscape,41,19
98501.jpg,Bartolome Esteban Murillo,Baroque,portrait,12,27
38741.jpg,Carlo Crivelli,Early Renaissance,religious painting,28,30
77845.jpg,Nicholas of Verdun,Mosan art,religious painting,59,30
2505.jpg,Norman Rockwell,Regionalism,still life,98,34
91016.jpg,Francesco Guardi,Baroque,genre painting,12,15
34617.jpg,Nikolay Bogdanov-Belsky,Impressionism,genre painting,41,15
27674.jpg,Hafiz Osman,Ottoman Period,calligraphy,84,7
32989.jpg,Jacopo Bassano,Mannerism (Late Renaissance),religious painting,54,30
100135.jpg,Esteban Frances,Surrealism,symbolic painting,109,35
17455.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative,68,13
45701.jpg,Corneille,Neo-Expressionism,figurative,68,13
45903.jpg,Ivan Aivazovsky,Romanticism,landscape,101,19
16693.jpg,Hans Holbein the Younger,Northern Renaissance,portrait,79,27
98059.jpg,Robert Henri,American Realism,portrait,4,27
38484.jpg,David Roberts,Romanticism,landscape,101,19
86992.jpg,Caspar David Friedrich,Romanticism,marina,101,21
43073.jpg,Thomas Gainsborough,Rococo,portrait,99,27
69112.jpg,Isaac van Ostade,Baroque,interior,12,18
89918.jpg,Enrico Baj,Neo-Dada,portrait,67,27
3666.jpg,Nikolai Ge,Realism,portrait,97,27
34033.jpg,William Merritt Chase,Impressionism,portrait,41,27
2609.jpg,Giotto,Proto Renaissance,religious painting,95,30
37669.jpg,Zdislav Beksinski,Surrealism,marina,109,21
65285.jpg,Joan Mitchell,Abstract Expressionism,abstract,1,0
92485.jpg,Claude Lorrain,Classicism,genre painting,15,15
39410.jpg,Richard Oelze,Surrealism,symbolic painting,109,35
75058.jpg,Martiros Saryan,Expressionism,illustration,30,17
74057.jpg,William Turner,Romanticism,landscape,101,19
46252.jpg,Henri Rousseau,Naïve Art (Primitivism),cityscape,64,10
15175.jpg,Hugo van der Goes,Northern Renaissance,religious painting,79,30
93313.jpg,Jozsef Rippl-Ronai,Art Nouveau (Modern),portrait,10,27
35315.jpg,Peter Paul Rubens,Baroque,portrait,12,27
67211.jpg,Isaac Levitan,Realism,portrait,97,27
20973.jpg,Sonia Delaunay,Orphism,design,83,12
16668.jpg,Jacek Malczewski,Art Nouveau (Modern),self-portrait,10,31
95519.jpg,Camille Corot,Realism,landscape,97,19
40126.jpg,Morris Graves,Expressionism,figurative,30,13
30177.jpg,Gustave Caillebotte,Impressionism,landscape,41,19
88007.jpg,Nikolaos Lytras,Expressionism,self-portrait,30,31
33775.jpg,Maurice Prendergast,Impressionism,portrait,41,27
19904.jpg,Edgar Degas,Impressionism,genre painting,41,15
1909.jpg,Lucian Freud,Expressionism,portrait,30,27
35702.jpg,Lawren Harris,Art Nouveau (Modern),landscape,10,19
27024.jpg,Maerten van Heemskerck,Mannerism (Late Renaissance),religious painting,54,30
75692.jpg,Esaias van de Velde,Baroque,genre painting,12,15
16024.jpg,Edgar Degas,Impressionism,genre painting,41,15
61525.jpg,Maurice Denis,Symbolism,mythological painting,110,23
26594.jpg,Vincent van Gogh,Post-Impressionism,portrait,89,27
9206.jpg,Gustave Loiseau,Post-Impressionism,landscape,89,19
61165.jpg,Georges Mathieu,Tachisme,abstract,115,0
71161.jpg,Thomas Girtin,Romanticism,interior,101,18
95939.jpg,Pierre-Auguste Renoir,Impressionism,cityscape,41,10
72258.jpg,Pietro Longhi,Rococo,genre painting,99,15
40014.jpg,Paul Klee,Abstract Art,abstract,0,0
23628.jpg,Viktor Vasnetsov,Symbolism,portrait,110,27
11233.jpg,Claude Monet,Impressionism,cityscape,41,10
61670.jpg,Eugene de Blaas,Academicism,genre painting,2,15
35817.jpg,Olle Baertling,Concretism,abstract,19,0
65881.jpg,Henri Matisse,Fauvism,nude painting (nu),32,24
13469.jpg,Sam Francis,Abstract Expressionism,illustration,1,17
48053.jpg,Jan Matejko,Romanticism,battle painting,101,4
7020.jpg,Rudolf von Alt,Romanticism,cityscape,101,10
15517.jpg,Anthony van Dyck,Baroque,portrait,12,27
73780.jpg,Helen Frankenthaler,Abstract Expressionism,abstract,1,0
58638.jpg,Natori Shunsen,Shin-hanga,yakusha-e,103,40
89715.jpg,William Merritt Chase,Realism,portrait,97,27
3212.jpg,Leonardo da Vinci,Early Renaissance,sketch and study,28,33
26738.jpg,El Greco,Mannerism (Late Renaissance),religious painting,54,30
73869.jpg,Miguel Cabrera,Baroque,religious painting,12,30
68800.jpg,Isaac Levitan,Realism,landscape,97,19
11877.jpg,Natori Shunsen,Shin-hanga,yakusha-e,103,40
81398.jpg,Arthur Rackham,Art Nouveau (Modern),illustration,10,17
1445.jpg,Konstantin Korovin,Impressionism,design,41,12
55828.jpg,Taras Shevchenko,Romanticism,landscape,101,19
51121.jpg,Mikhail Vrubel,Realism,portrait,97,27
21083.jpg,Dante Gabriel Rossetti,Romanticism,genre painting,101,15
15857.jpg,Isaac Levitan,Realism,landscape,97,19
65880.jpg,Konstantin Korovin,Impressionism,landscape,41,19
95345.jpg,Marc Chagall,Expressionism,nude painting (nu),30,24
29617.jpg,Philip Guston,Neo-Expressionism,still life,68,34
59740.jpg,Henry William Banks Davis,Romanticism,animal painting,101,3
53530.jpg,Le Pho,Post-Impressionism,portrait,89,27
94204.jpg,Francisc Sirato,Post-Impressionism,still life,89,34
43432.jpg,Pierre-Narcisse Guerin,Neoclassicism,portrait,73,27
15212.jpg,Albrecht Durer,Northern Renaissance,portrait,79,27
2347.jpg,O. Louis Guglielmi,Cubism,genre painting,23,15
24747.jpg,Joshua Johnson,Naïve Art (Primitivism),portrait,64,27
23825.jpg,Eugene Brands,Art Informel,abstract,9,0
79425.jpg,Jean-Paul Laurens,Academicism,portrait,2,27
62297.jpg,Edwin Lord Weeks,Orientalism,genre painting,82,15
5332.jpg,Horace Pippin,Naïve Art (Primitivism),history painting,64,16
85798.jpg,Corneliu Baba,Expressionism,portrait,30,27
12695.jpg,Leonardo da Vinci,High Renaissance,sketch and study,39,33
1583.jpg,George Romney,Rococo,portrait,99,27
82097.jpg,Félix Del Marle,Constructivism,abstract,20,0
40669.jpg,Mary Cassatt,Impressionism,portrait,41,27
16408.jpg,Georges de la Tour,Tenebrism,religious painting,116,30
12073.jpg,Hans Memling,Northern Renaissance,portrait,79,27
38823.jpg,Tom Scott,Realism,landscape,97,19
55856.jpg,Pietro Perugino,High Renaissance,religious painting,39,30
93438.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape,73,10
87720.jpg,Edgar Degas,Realism,portrait,97,27
10521.jpg,Marc Chagall,Surrealism,symbolic painting,109,35
62259.jpg,Lynd Ward,Expressionism,genre painting,30,15
20352.jpg,Thomas Cole,Romanticism,landscape,101,19
3659.jpg,Abraham van Strij,Neoclassicism,animal painting,73,3
63304.jpg,Ilya Repin,Realism,portrait,97,27
24762.jpg,Nikolay Bogdanov-Belsky,Realism,genre painting,97,15
50520.jpg,Eduardo Nery,Op Art,abstract,81,0
34954.jpg,Jean Fautrier,Expressionism,figurative,30,13
99602.jpg,Gustave Loiseau,Post-Impressionism,landscape,89,19
85850.jpg,Vasily Tropinin,Romanticism,portrait,101,27
29418.jpg,Henri Matisse,Expressionism,interior,30,18
15769.jpg,Francisco de Zurbaran,Baroque,religious painting,12,30
85004.jpg,Jose Maria Velasco,Realism,landscape,97,19
24323.jpg,Rene Magritte,Surrealism,symbolic painting,109,35
6636.jpg,Clyfford Still,Color Field Painting,abstract,17,0
46203.jpg,Wyndham Lewis,Expressionism,portrait,30,27
7724.jpg,Jacob Lawrence,Social Realism,history painting,104,16
100538.jpg,Robert Henri,American Realism,landscape,4,19
96108.jpg,Aleksey Savrasov,Realism,landscape,97,19
89963.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape,73,10
94547.jpg,Pyotr Konchalovsky,Post-Impressionism,still life,89,34
93677.jpg,Alexander Calder,Abstract Art,abstract,0,0
97300.jpg,Ernst Ludwig Kirchner,Expressionism,cityscape,30,10
18296.jpg,Lucian Freud,Contemporary Realism,flower painting,21,14
46851.jpg,Carlo Crivelli,Early Renaissance,religious painting,28,30
25850.jpg,Gustav Klimt,Art Nouveau (Modern),portrait,10,27
73361.jpg,Albrecht Durer,Northern Renaissance,sketch and study,79,33
88558.jpg,Ferdinand Hodler,Realism,genre painting,97,15
5725.jpg,Otto Dix,Verism,portrait,122,27
49569.jpg,James Charles,Impressionism,portrait,41,27
56911.jpg,Alfred Sisley,Impressionism,landscape,41,19
77099.jpg,Joan Miro,Surrealism,abstract,109,0
69862.jpg,Mestre Ataíde,Baroque,religious painting,12,30
